mutation_type,edge_weight,capacity_delta_mw,turbine_dispersion_stddev,parent_rank,round_idx,project_id,scenario_id,feasible,total_route_length_m,evaluation.rank,evaluation.lifecycle_cost
EDGE_RECONNECT,542.292816474103,0.0,337.402118906787,1.0,1,SYN-2-SPREAD-12,SCN-S1-007,True,12440.646847872846,19,1822472.77
FEEDER_SWAP,203.5450998424839,0.0,284.9251717360605,1.0,1,SYN-2-SPREAD-12,SCN-S1-008,True,12410.348683182357,16,1818313.26
EDGE_RECONNECT,1818.6082859556511,0.0,393.88017162832216,1.0,1,SYN-2-SPREAD-12,SCN-S1-009,True,12537.373734570969,28,1843921.17
FEEDER_SWAP,360.1763288293762,0.0,303.31900455316173,1.0,1,SYN-2-SPREAD-12,SCN-S1-010,True,12650.265885044408,26,1852462.36
EDGE_RECONNECT,1677.519788948493,0.0,337.402118906787,1.0,1,SYN-2-SPREAD-12,SCN-S1-011,True,12703.908024835493,23,1856875.46
FEEDER_SWAP,435.446244848286,0.0,250.84205738243526,1.0,1,SYN-2-SPREAD-12,SCN-S1-012,True,13132.485098242487,29,1914422.95
FEEDER_SWAP,498.65616728062423,0.0,303.31900455316173,1.0,1,SYN-2-SPREAD-12,SCN-S1-013,True,12704.479424504238,27,1863499.64
FEEDER_SWAP,558.9835975284639,0.0,250.84205738243526,1.0,1,SYN-2-SPREAD-12,SCN-S1-014,True,13255.145833423017,33,1930221.25
EDGE_RECONNECT,2009.7783002334372,0.0,393.88017162832216,1.0,1,SYN-2-SPREAD-12,SCN-S1-015,True,12859.67203876892,31,1886486.54
FEEDER_SWAP,571.5739953711949,0.0,250.84205738243526,1.0,1,SYN-2-SPREAD-12,SCN-S1-016,True,13248.066861748808,32,1931674.83
FEEDER_SWAP,694.4523131878932,0.0,250.84205738243526,1.0,1,SYN-2-SPREAD-12,SCN-S1-017,True,13372.045666656297,34,1947608.47
EDGE_RECONNECT,1818.6082859556511,0.0,393.88017162832216,1.0,1,SYN-2-SPREAD-12,SCN-S1-018,True,13389.558331552018,25,1948190.8
EDGE_RECONNECT,1226.3313882928335,0.0,232.44822456533407,1.0,1,SYN-2-SPREAD-12,SCN-S1-019,True,13402.175666167957,39,1958529.42
EDGE_RECONNECT,1430.124546054381,0.0,269.23589019953647,1.0,1,SYN-2-SPREAD-12,SCN-S1-020,True,13589.021650913266,40,1987028.39
FEEDER_SWAP,1302.746767609734,0.0,284.9251717360605,1.0,1,SYN-2-SPREAD-12,SCN-S1-021,True,11832.156298576096,2,1738837.87
FEEDER_SWAP,1308.3587241914015,0.0,284.9251717360605,1.0,1,SYN-2-SPREAD-12,SCN-S1-022,True,12234.783014251467,3,1791639.56
FEEDER_SWAP,1331.805839876499,0.0,284.9251717360605,1.0,1,SYN-2-SPREAD-12,SCN-S1-023,True,12455.726347265685,8,1819903.76
FEEDER_SWAP,1341.5350693396854,0.0,303.31900455316173,1.0,1,SYN-2-SPREAD-12,SCN-S1-024,True,12535.992727247554,12,1833923.15
FEEDER_SWAP,1417.9876488809623,0.0,303.31900455316173,1.0,1,SYN-2-SPREAD-12,SCN-S1-025,True,12714.260784527327,21,1857702.77
FEEDER_SWAP,1523.9931931311028,0.0,313.1641980968281,1.0,1,SYN-2-SPREAD-12,SCN-S1-026,True,14168.036641049495,41,2062451.64
FEEDER_SWAP,1661.7276780586913,0.0,250.84205738243526,1.0,1,SYN-2-SPREAD-12,SCN-S1-027,True,13361.513366142564,38,1940663.33
FEEDER_SWAP,1679.045386613071,0.0,303.31900455316173,1.0,1,SYN-2-SPREAD-12,SCN-S1-028,True,12441.825726639447,6,1821102.78
FEEDER_SWAP,1723.3559538449156,0.0,284.9251717360605,1.0,1,SYN-2-SPREAD-12,SCN-S1-029,True,12260.603537939112,4,1794336.29
FEEDER_SWAP,1728.200657130593,0.0,303.31900455316173,1.0,1,SYN-2-SPREAD-12,SCN-S1-030,True,12647.391092942971,18,1847729.8
FEEDER_SWAP,1762.006372421884,0.0,284.9251717360605,1.0,1,SYN-2-SPREAD-12,SCN-S1-031,True,12466.34356806146,9,1824014.52
FEEDER_SWAP,1767.801720856862,0.0,365.6411452675546,1.0,1,SYN-2-SPREAD-12,SCN-S1-032,True,14431.649069969339,35,2087662.05
FEEDER_SWAP,1771.4358625799962,0.0,303.31900455316173,1.0,1,SYN-2-SPREAD-12,SCN-S1-033,True,11912.613584159564,1,1749908.27
FEEDER_SWAP,1797.354867287907,0.0,250.84205738243526,1.0,1,SYN-2-SPREAD-12,SCN-S1-034,True,13405.427958409748,37,1953478.68
FEEDER_SWAP,1852.7089304214599,0.0,250.84205738243526,1.0,1,SYN-2-SPREAD-12,SCN-S1-035,True,13239.062792186756,36,1930762.57
FEEDER_SWAP,1856.2611054604406,0.0,284.9251717360605,1.0,1,SYN-2-SPREAD-12,SCN-S1-036,True,12452.280364842733,7,1819558.82
FEEDER_SWAP,1876.8282381020933,0.0,313.1641980968281,1.0,1,SYN-2-SPREAD-12,SCN-S1-037,True,14370.683929225463,42,2090157.63
FEEDER_SWAP,1915.6154434718037,0.0,303.31900455316173,1.0,1,SYN-2-SPREAD-12,SCN-S1-038,True,12630.67715330683,20,1846039.56
FEEDER_SWAP,1923.149038343267,0.0,303.31900455316173,1.0,1,SYN-2-SPREAD-12,SCN-S1-039,True,12697.546844891183,22,1856019.1
FEEDER_SWAP,1958.1740799119023,0.0,365.6411452675546,1.0,1,SYN-2-SPREAD-12,SCN-S1-040,True,14027.269061111598,30,2032240.05
EDGE_RECONNECT,384.1052436509785,0.0,71.39487156368737,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-001,True,14152.416226182639,6,2121066.25
EDGE_RECONNECT,282.2873091086942,0.0,51.11996586125643,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-002,True,14154.528560461933,7,2124291.57
EDGE_RECONNECT,393.0726896243942,0.0,51.1346061589476,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-003,True,14160.543936568665,18,2126742.65
